disegno_id;tipologia;dimensione;colore;posizione;orientamento;accuratezza;alim;io;sport;assoc
263;+;L;R-L;C;S;A-NS;TRUE;FALSE;FALSE;==
264;+;N;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
265;+;N;NR-D;C;S;NA-ND;TRUE;TRUE;FALSE;++
266;+;N;NR-L;C;S;NA-D;FALSE;TRUE;FALSE;==
267;+;N;R-L;C;S;A-ND;TRUE;TRUE;FALSE;++
268;+;N;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
269;+;N;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
270;+;N;R-L;C;S;A-ND;TRUE;TRUE;FALSE;++
271;+;N;R-L;C;S;NA-ND;TRUE;TRUE;FALSE;++
272;+;N;NR-D;C;S;NA-ND;FALSE;TRUE;FALSE;==
273;+;N;R-L;C;S;A-D;TRUE;FALSE;FALSE;==
274;+;N;R-L;C;S;A-ND;FALSE;FALSE;FALSE;==
275;+;N;R-L;C;S;A-ND;FALSE;FALSE;FALSE;==
276;+;N;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
277;+;N;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
278;+;N;NR-L;C;S;A-ND;TRUE;FALSE;FALSE;==
279;+;N;R-L;P-LB;S;A-ND;TRUE;FALSE;FALSE;==
280;+;N;R-L;C;S;A-D;TRUE;TRUE;FALSE;--
281;+;N;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
282;+;N;R-L;C;S;A-D;TRUE;TRUE;FALSE;--
283;+;N;R-L;C;S;A-ND;TRUE;TRUE;FALSE;--
284;+;L;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
285;+;N;R-L;P-LB;S;A-ND;TRUE;FALSE;FALSE;==
286;+;N;R-L;C;S;A-ND;TRUE;TRUE;FALSE;++
287;+;N;NR-D;C;S;A-ND;FALSE;TRUE;FALSE;==
288;+;N;NR-D;P-L;S;A-D;FALSE;TRUE;FALSE;==
289;+;L;R-L;C;S;A-ND;TRUE;TRUE;FALSE;--
290;+;N;R-L;C;S;A-ND;TRUE;TRUE;FALSE;--
291;+;L;R-L;P-R;S;NA-ND;TRUE;FALSE;FALSE;==
292;+;L;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
293;+;L;NR-L;C;S;NA-ND;FALSE;FALSE;FALSE;==
294;+;N;R-L;C;S;A-D;TRUE;FALSE;FALSE;==
295;+;N;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
296;+;N;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
297;+;L;NR-L;C;S;A-ND;TRUE;FALSE;FALSE;==
298;+;L;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
299;+;L;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
300;+;L;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
301;+;S;R-L;P-TL;S;A-ND;TRUE;FALSE;FALSE;==
302;+;S;R-L;P-TR;S;A-ND;TRUE;FALSE;FALSE;==
303;+;N;R-D;P-R;S;A-ND;TRUE;FALSE;FALSE;==
304;+;N;R-D;C;S;A-D;TRUE;FALSE;FALSE;==
305;+;N;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
306;+;N;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
307;+;N;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
308;+;N;R-D;C;S;A-D;TRUE;FALSE;FALSE;--
310;+;N;NR-D;P-R;S;A-D;FALSE;TRUE;FALSE;==
311;+;N;R-D;P-L;D;A-ND;TRUE;FALSE;FALSE;==
312;+;N;R-D;C;S;A-D;FALSE;TRUE;FALSE;==
313;+;N;R-D;P-L;D;A-ND;TRUE;FALSE;FALSE;==
314;+;N;R-D;C;S;A-D;FALSE;FALSE;FALSE;==
315;+;N;R-D;P-L;S;A-ND;TRUE;FALSE;FALSE;==
316;+;N;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
317;+;N;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
318;+;N;R-D;P-L;S;A-ND;TRUE;FALSE;FALSE;==
319;+;N;R-D;C;S;A-D;FALSE;TRUE;FALSE;==
321;+;L;R-D;C;S;A-D;TRUE;FALSE;FALSE;==
322;+;N;R-L;C;S;A-D;TRUE;TRUE;FALSE;++
323;+-;N;R-D;C;S;A-D;FALSE;TRUE;FALSE;==
324;+;N;R-L;C;S;A-D;TRUE;TRUE;FALSE;++
325;+;N;R-D;C;S;A-D;TRUE;TRUE;FALSE;++
326;+;N;R-D;P-L;S;A-D;TRUE;TRUE;FALSE;--
327;+;N;R-D;C;S;A-D;TRUE;TRUE;FALSE;++
328;+;N;R-D;C;S;A-D;TRUE;TRUE;FALSE;--
329;+;N;R-D;C;S;A-D;TRUE;TRUE;FALSE;--
330;+;N;R-D;C;S;A-D;FALSE;TRUE;FALSE;==
331;+;N;R-L;C;D;A-D;TRUE;TRUE;FALSE;++
332;+;N;R-D;C;D;A-D;TRUE;TRUE;FALSE;++
334;+-;L;R-L;P-L;S;NA-ND;TRUE;TRUE;FALSE;--
335;+-;N;R-D;C;S;A-D;TRUE;TRUE;FALSE;++
336;+;L;R-L;C;S;A-D;TRUE;TRUE;FALSE;++
337;+;L;R-L;C;S;A-D;TRUE;TRUE;FALSE;++
339;+;S;R-D;P-R;S;A-ND;TRUE;TRUE;FALSE;--
340;+;N;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
341;+;N;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
342;+;N;R-L;P-R;S;A-ND;TRUE;FALSE;FALSE;==
343;+;N;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
344;+;N;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
345;+;S;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
346;+;S;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
347;+;S;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
348;+;S;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
349;+;N;R-D;C;S;A-D;TRUE;FALSE;FALSE;==
350;+;N;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
351;+;N;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
352;+;N;R-D;C;S;A-ND;TRUE;TRUE;FALSE;++
354;+;N;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
355;+;L;R-D;C;S;A-D;TRUE;TRUE;FALSE;++
356;+;L;NR-L;C;S;NA-D;TRUE;TRUE;FALSE;++
357;+;L;NR-D;C;S;NA-D;TRUE;TRUE;FALSE;++
358;+;L;NR-D;C;S;NA-D;TRUE;TRUE;FALSE;--
359;+;N;NR-D;C;S;NA-ND;TRUE;FALSE;FALSE;==
360;+;L;R-D;C;S;A-ND;TRUE;TRUE;FALSE;--
361;+;N;NR-D;C;S;A-D;TRUE;TRUE;FALSE;++
362;+;N;NR-L;C;S;NAD;FALSE;TRUE;FALSE;==
363;+;L;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
364;+;L;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
365;+;S;NR-D;C;S;NA-D;TRUE;TRUE;FALSE;++
366;+;L;NR-D;C;S;A-ND;TRUE;TRUE;FALSE;--
367;+;N;R-D;C;S;NA-ND;TRUE;FALSE;FALSE;==
368;+;N;R-D;C;S;NA-ND;TRUE;FALSE;FALSE;==
369;+;L;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
370;+;L;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
371;+;L;R-L;C;S;NA-ND;TRUE;FALSE;FALSE;==
372;+;N;NR-D;C;S;NA-D;FALSE;TRUE;FALSE;==
373;+;L;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
374;+;L;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
375;+;S;R-D;C;S;NA-ND;TRUE;FALSE;FALSE;==
376;+;L;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
377;+;L;NR-D;C;S;A-D;TRUE;TRUE;FALSE;++
379;+;L;NR-L;C;S;A-D;FALSE;TRUE;FALSE;==
380;+;S;R-L;C;S;A-ND;TRUE;TRUE;FALSE;++
381;+;L;R-D;C;S;A-D;TRUE;TRUE;FALSE;--
382;+;N;R-L;C;S;A-ND;TRUE;FALSE;TRUE;==
383;+;L;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
384;+;L;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
385;+;L;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
386;+;L;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
387;+;L;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
388;+;S;R-D;P-RB;S;A-ND;TRUE;FALSE;FALSE;==
390;+;L;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
391;+;N;R-D;C;S;A-ND;TRUE;TRUE;FALSE;--
392;+;L;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
393;+;L;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
394;+;N;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
395;-;N;NR-D;C;S;NA-ND;TRUE;FALSE;FALSE;==
396;+;L;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
397;+;S;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
398;+;S;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
400;+;L;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
401;+;S;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
402;+;L;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
403;+;L;NR-D;C;S;A-ND;FALSE;FALSE;FALSE;==
